type,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
recharge & bill payments,72550406,14472713558.652578,All,2018,1,aggregated,transaction,india,2018-Q1,199.48494235376958,
peer-to-peer payments,46982705,147245883542.77402,All,2018,1,aggregated,transaction,india,2018-Q1,3134.0444008656805,-0.3524129279166267
merchant payments,5368669,4656678915.140091,All,2018,1,aggregated,transaction,india,2018-Q1,867.3805211571231,-0.8857309514213794
financial services,3762820,815853105.1000277,All,2018,1,aggregated,transaction,india,2018-Q1,216.81959410761814,-0.2991149202902992
others,5761576,4643217301.269438,All,2018,1,aggregated,transaction,india,2018-Q1,805.8936133567339,0.5311856533132067
recharge & bill payments,92033715,24351225616.36898,All,2018,2,aggregated,transaction,india,2018-Q2,264.5902712540614,14.973704937676775
peer-to-peer payments,74558816,264767671095.3184,All,2018,2,aggregated,transaction,india,2018-Q2,3551.124941352588,-0.18987497136239695
merchant payments,10613941,9052859939.33966,All,2018,2,aggregated,transaction,india,2018-Q2,852.9216376216582,-0.8576433804957417
financial services,5186569,1176991419.239996,All,2018,2,aggregated,transaction,india,2018-Q2,226.9306393571542,-0.5113437129526158
others,4973199,5027454207.140578,All,2018,2,aggregated,transaction,india,2018-Q2,1010.9095186298755,-0.04113894946736463
peer-to-peer payments,202021587,425967421714.0399,All,2018,3,aggregated,transaction,india,2018-Q3,2108.5242821800025,39.62205976475102
recharge & bill payments,102290514,31364311860.3946,All,2018,3,aggregated,transaction,india,2018-Q3,306.619945818188,-0.4936654269526157
merchant payments,25175938,12433150984.830223,All,2018,3,aggregated,transaction,india,2018-Q3,493.850556226752,-0.7538780771010692
financial services,6218596,891447809.4200314,All,2018,3,aggregated,transaction,india,2018-Q3,143.35194140607163,-0.7529944663829408
others,5594554,4449556277.54975,All,2018,3,aggregated,transaction,india,2018-Q3,795.3370863074608,-0.10035094738426487
peer-to-peer payments,200235002,594995709377.7327,All,2018,4,aggregated,transaction,india,2018-Q4,2971.487019925381,34.79105716023118
recharge & bill payments,131917248,39578607327.024284,All,2018,4,aggregated,transaction,india,2018-Q4,300.0260233371779,-0.34118787083988444
merchant payments,71498510,30497289208.339787,All,2018,4,aggregated,transaction,india,2018-Q4,426.5444022307568,-0.4580048395187868
financial services,5216165,868584631.5900131,All,2018,4,aggregated,transaction,india,2018-Q4,166.51785969002384,-0.9270451230382284
others,8246415,5802659774.449921,All,2018,4,aggregated,transaction,india,2018-Q4,703.6584715236768,0.5809344604704798
peer-to-peer payments,404841331,887893108631.5128,All,2019,1,aggregated,transaction,india,2019-Q1,2193.187900154179,48.093009629032736
recharge & bill payments,180504739,55473071028.87885,All,2019,1,aggregated,transaction,india,2019-Q1,307.32196470962936,-0.5541346073679418
merchant payments,110496541,40575915112.522,All,2019,1,aggregated,transaction,india,2019-Q1,367.2143466692048,-0.3878468697711034
financial services,4627353,603852042.0000324,All,2019,1,aggregated,transaction,india,2019-Q1,130.4962128456663,-0.9581221913543881
others,8526177,5484252454.820416,All,2019,1,aggregated,transaction,india,2019-Q1,643.2252643617903,0.8425603147198841
peer-to-peer payments,384711008,1196425281586.993,All,2019,2,aggregated,transaction,india,2019-Q2,3109.932538210586,44.12116133643484
recharge & bill payments,209898072,76865848586.98372,All,2019,2,aggregated,transaction,india,2019-Q2,366.20559614756115,-0.45440066014435443
merchant payments,206467182,73415840739.88434,All,2019,2,aggregated,transaction,india,2019-Q2,355.58116320822523,-0.01634550506971788
financial services,2650384,545329308.0899862,All,2019,2,aggregated,transaction,india,2019-Q2,205.75482952281112,-0.9871631705614116
others,11656557,6969423863.830339,All,2019,2,aggregated,transaction,india,2019-Q2,597.8972919559643,3.3980634504283156
peer-to-peer payments,461911865,1440512511470.7004,All,2019,3,aggregated,transaction,india,2019-Q3,3118.5873769895484,38.62678387794955
merchant payments,376320628,123209398484.44376,All,2019,3,aggregated,transaction,india,2019-Q3,327.4053807234924,-0.1852977667070752
recharge & bill payments,240103872,101520929811.06812,All,2019,3,aggregated,transaction,india,2019-Q3,422.8208773370723,-0.36196994229080637
financial services,2870292,617120839.9299941,All,2019,3,aggregated,transaction,india,2019-Q3,215.00280805227973,-0.988045623853996
others,13804992,6705143103.510092,All,2019,3,aggregated,transaction,india,2019-Q3,485.7042368086915,3.809612401804416
peer-to-peer payments,703497002,1963952535223.0903,All,2019,4,aggregated,transaction,india,2019-Q4,2791.6999356638203,49.95960953834671
merchant payments,456578271,174239646473.03162,All,2019,4,aggregated,transaction,india,2019-Q4,381.6205403104512,-0.35098760946816376
