brand,count,percentage,registeredUsers,appOpens,state,year,quarter,source,category,country,date,growth
xiaomi,11926334,0.2544128980953847,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,
samsung,9609401,0.204988017052909,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,-0.1942703432588757
vivo,5894293,0.1257372269092363,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,-0.38661181898850927
oppo,4479351,0.0955536436843425,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,-0.24005287826716448
realme,2376866,0.0507033735131336,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,-0.46937268367672014
apple,1825153,0.0389342160128574,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,-0.2321178392050709
motorola,1593250,0.0339872545822104,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,-0.12705948487606245
oneplus,1536418,0.0327749127322708,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,-0.03567048485799462
lenovo,1246507,0.0265905229860394,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,-0.18869279063379885
huawei,808774,0.0172527901066829,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,-0.3511677030293452
others,5581520,0.1190651443249327,46877867,0,All,2018,1,aggregated,user,india,2018-Q1,5.9012109687007746
xiaomi,16416511,0.2579253202806905,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,1.941225866788975
samsung,12943051,0.2033526231355927,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,-0.2115833260794574
vivo,8365074,0.1314264882849758,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,-0.3537015345145438
oppo,6246581,0.09814213294678,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,-0.253254543833085
realme,3165738,0.049737973408281,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,-0.4932046826896185
apple,2326897,0.0365586606060921,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,-0.26497486526048586
motorola,2099718,0.0329893750047821,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,-0.09763173874907227
oneplus,1890141,0.029696640339757,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,-0.0998119747508951
lenovo,1627153,0.0255647475075968,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,-0.13913670990682703
huawei,1104740,0.0173569413334471,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,-0.3210595438781725
others,7462707,0.1172490971520045,63648311,0,All,2018,2,aggregated,user,india,2018-Q2,5.755170447345077
xiaomi,20859459,0.2607075466368654,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,1.795159852852323
samsung,16228372,0.2028268829997173,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,-0.22201376363596004
vivo,11118842,0.1389665004860834,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,-0.31485166842367185
oppo,8103650,0.1012817595271207,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,-0.27117859935414135
realme,3962596,0.0495256699357857,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,-0.5110109641951466
apple,2774989,0.0346826144500817,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,-0.29970428476685484
motorola,2529272,0.0316115723757417,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,-0.08854701766385376
oneplus,2231557,0.0278906442707993,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,-0.11770778310913177
lenovo,1857680,0.0232178214802393,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,-0.1675408694467585
huawei,1444125,0.0180490915793627,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,-0.22261907325265928
others,8900410,0.1112398962582022,80010952,0,All,2018,3,aggregated,user,india,2018-Q3,5.1631853198303475
xiaomi,26709586,0.2611876516661043,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,2.000938833154877
samsung,20740259,0.2028148075060686,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,-0.22349006083433864
vivo,14966905,0.1463583437669035,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,-0.27836460480074043
oppo,10754040,0.1051615870617894,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,-0.28147870251063933
realme,4997725,0.0488717442652604,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,-0.5352700008554925
apple,3435529,0.0335953448226715,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,-0.3125814245481694
motorola,3089947,0.030215968180964,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,-0.10059062228844529
oneplus,2668868,0.0260983216110804,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,-0.1362738584189308
lenovo,2257295,0.0220736322969453,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,-0.15421257252138365
huawei,1899667,0.0185764602520455,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,-0.15843210568401556
others,10742234,0.1050461385701666,102262055,0,All,2018,4,aggregated,user,india,2018-Q4,4.654798446254001
xiaomi,32175910,0.2606757387683793,123432699,0,All,2019,1,aggregated,user,india,2019-Q1,1.9952717470127723
