name,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
puducherry,112,22251.0,All,2020,2,map,insurance,india,2020-Q2,198.66964285714286,
tamil nadu,5473,1075552.0,All,2020,2,map,insurance,india,2020-Q2,196.51964187831172,47.86607142857143
uttar pradesh,9884,1912266.0,All,2020,2,map,insurance,india,2020-Q2,193.47086199919062,0.8059565137949936
madhya pradesh,6283,1198701.0,All,2020,2,map,insurance,india,2020-Q2,190.78481617061914,-0.3643261837312829
andhra pradesh,22104,3982391.0,All,2020,2,map,insurance,india,2020-Q2,180.16607853782122,2.518064618812669
tripura,88,22054.0,All,2020,2,map,insurance,india,2020-Q2,250.61363636363637,-0.9960188201230546
manipur,55,12554.0,All,2020,2,map,insurance,india,2020-Q2,228.25454545454545,-0.375
maharashtra,39836,6879717.0,All,2020,2,map,insurance,india,2020-Q2,172.70099909629482,723.290909090909
dadra & nagar haveli & daman & diu,651,101029.0,All,2020,2,map,insurance,india,2020-Q2,155.1904761904762,-0.9836579977909429
meghalaya,41,8829.0,All,2020,2,map,insurance,india,2020-Q2,215.34146341463415,-0.9370199692780338
andaman & nicobar islands,6,1360.0,All,2020,2,map,insurance,india,2020-Q2,226.66666666666666,-0.8536585365853658
haryana,6321,1179814.0,All,2020,2,map,insurance,india,2020-Q2,186.6498971681696,1052.5
rajasthan,5373,1095933.0,All,2020,2,map,insurance,india,2020-Q2,203.97040759352316,-0.14997626957759846
ladakh,14,2538.0,All,2020,2,map,insurance,india,2020-Q2,181.28571428571428,-0.997394379303927
punjab,2036,399452.0,All,2020,2,map,insurance,india,2020-Q2,196.19449901768172,144.42857142857142
assam,978,210034.0,All,2020,2,map,insurance,india,2020-Q2,214.75869120654397,-0.5196463654223968
jharkhand,2063,405031.0,All,2020,2,map,insurance,india,2020-Q2,196.33107125545322,1.109406952965235
odisha,2981,615193.0,All,2020,2,map,insurance,india,2020-Q2,206.37135189533714,0.44498303441589915
bihar,2816,595621.0,All,2020,2,map,insurance,india,2020-Q2,211.51313920454547,-0.05535055350553508
kerala,1588,360216.0,All,2020,2,map,insurance,india,2020-Q2,226.83627204030228,-0.4360795454545454
karnataka,27358,4794150.0,All,2020,2,map,insurance,india,2020-Q2,175.2375904671394,16.227959697733
chandigarh,149,29537.0,All,2020,2,map,insurance,india,2020-Q2,198.23489932885906,-0.9945536954455735
telangana,19003,3419453.0,All,2020,2,map,insurance,india,2020-Q2,179.94279850549913,126.53691275167785
himachal pradesh,392,77936.0,All,2020,2,map,insurance,india,2020-Q2,198.81632653061226,-0.9793716781560806
west bengal,7619,1432764.0,All,2020,2,map,insurance,india,2020-Q2,188.05145032156452,18.43622448979592
gujarat,7697,1430591.0,All,2020,2,map,insurance,india,2020-Q2,185.86345329349098,0.010237563984774933
sikkim,21,4789.0,All,2020,2,map,insurance,india,2020-Q2,228.04761904761904,-0.9972716642847863
nagaland,41,9791.0,All,2020,2,map,insurance,india,2020-Q2,238.8048780487805,0.9523809523809523
mizoram,31,7322.0,All,2020,2,map,insurance,india,2020-Q2,236.19354838709677,-0.24390243902439024
chhattisgarh,1346,279005.0,All,2020,2,map,insurance,india,2020-Q2,207.28454680534918,42.41935483870968
jammu & kashmir,206,48484.0,All,2020,2,map,insurance,india,2020-Q2,235.35922330097088,-0.8469539375928677
goa,341,71100.0,All,2020,2,map,insurance,india,2020-Q2,208.50439882697947,0.6553398058252426
arunachal pradesh,65,14329.0,All,2020,2,map,insurance,india,2020-Q2,220.44615384615383,-0.8093841642228738
delhi,11716,1897480.0,All,2020,2,map,insurance,india,2020-Q2,161.9562990781837,179.24615384615385
uttarakhand,660,134899.0,All,2020,2,map,insurance,india,2020-Q2,204.39242424242425,-0.9436667804711506
puducherry,191,58399.0,All,2020,3,map,insurance,india,2020-Q3,305.75392670157066,-0.7106060606060607
tamil nadu,8026,2257373.0,All,2020,3,map,insurance,india,2020-Q3,281.25753800149516,41.02094240837696
uttar pradesh,18131,4436969.0,All,2020,3,map,insurance,india,2020-Q3,244.71727979703272,1.2590331422875654
madhya pradesh,14476,3496126.0,All,2020,3,map,insurance,india,2020-Q3,241.51188173528598,-0.2015884396889306
andhra pradesh,49812,12426481.0,All,2020,3,map,insurance,india,2020-Q3,249.4676182445997,2.4410058027079304
tripura,249,61642.0,All,2020,3,map,insurance,india,2020-Q3,247.5582329317269,-0.9950012045290292
lakshadweep,4,1199.0,All,2020,3,map,insurance,india,2020-Q3,299.75,-0.9839357429718876
manipur,134,45164.0,All,2020,3,map,insurance,india,2020-Q3,337.04477611940297,32.5
maharashtra,71662,19230156.0,All,2020,3,map,insurance,india,2020-Q3,268.34523178253465,533.7910447761194
dadra & nagar haveli & daman & diu,257,65504.0,All,2020,3,map,insurance,india,2020-Q3,254.87937743190662,-0.9964137199631604
meghalaya,112,33615.0,All,2020,3,map,insurance,india,2020-Q3,300.13392857142856,-0.5642023346303502
andaman & nicobar islands,41,15380.0,All,2020,3,map,insurance,india,2020-Q3,375.1219512195122,-0.6339285714285714
haryana,7139,1884868.0,All,2020,3,map,insurance,india,2020-Q3,264.0240930102255,173.1219512195122
rajasthan,15235,3758527.0,All,2020,3,map,insurance,india,2020-Q3,246.7034460124713,1.1340523882896765
ladakh,33,10260.0,All,2020,3,map,insurance,india,2020-Q3,310.90909090909093,-0.9978339350180505
punjab,2488,684753.0,All,2020,3,map,insurance,india,2020-Q3,275.22226688102893,74.39393939393939
assam,2206,599450.0,All,2020,3,map,insurance,india,2020-Q3,271.73617407071623,-0.11334405144694537
jharkhand,5368,1349934.0,All,2020,3,map,insurance,india,2020-Q3,251.4780178837556,1.4333635539437894
odisha,10955,2640191.0,All,2020,3,map,insurance,india,2020-Q3,241.00328617069832,1.0407973174366618
bihar,9733,2161102.0,All,2020,3,map,insurance,india,2020-Q3,222.0386314599815,-0.11154723870378824
kerala,8811,2830361.0,All,2020,3,map,insurance,india,2020-Q3,321.23039382589945,-0.09472927155039557
karnataka,53701,12407394.0,All,2020,3,map,insurance,india,2020-Q3,231.04586506768962,5.094767903756668
chandigarh,264,70969.0,All,2020,3,map,insurance,india,2020-Q3,268.8219696969697,-0.9950838904303458
telangana,34395,8406543.0,All,2020,3,map,insurance,india,2020-Q3,244.41177496729176,129.2840909090909
himachal pradesh,531,165559.0,All,2020,3,map,insurance,india,2020-Q3,311.78719397363466,-0.9845617095508068
west bengal,12596,2878482.0,All,2020,3,map,insurance,india,2020-Q3,228.5234995236583,22.721280602636536
gujarat,12525,3335812.0,All,2020,3,map,insurance,india,2020-Q3,266.33229540918165,-0.005636710066687867
sikkim,94,28000.0,All,2020,3,map,insurance,india,2020-Q3,297.8723404255319,-0.9924950099800399
nagaland,89,20798.0,All,2020,3,map,insurance,india,2020-Q3,233.68539325842696,-0.05319148936170215
mizoram,74,24691.0,All,2020,3,map,insurance,india,2020-Q3,333.6621621621622,-0.1685393258426966
chhattisgarh,4702,1393656.0,All,2020,3,map,insurance,india,2020-Q3,296.3964270523182,62.54054054054054
jammu & kashmir,441,133339.0,All,2020,3,map,insurance,india,2020-Q3,302.35600907029476,-0.9062101233517652
goa,683,196864.0,All,2020,3,map,insurance,india,2020-Q3,288.2342606149341,0.5487528344671202
arunachal pradesh,135,39687.0,All,2020,3,map,insurance,india,2020-Q3,293.97777777777776,-0.8023426061493412
delhi,7588,1927285.0,All,2020,3,map,insurance,india,2020-Q3,253.99117026884554,55.20740740740741
uttarakhand,1403,418543.0,All,2020,3,map,insurance,india,2020-Q3,298.320028510335,-0.8151027938850817
puducherry,234,197955.0,All,2020,4,map,insurance,india,2020-Q4,845.9615384615385,-0.8332145402708482
tamil nadu,10290,8993575.0,All,2020,4,map,insurance,india,2020-Q4,874.011175898931,42.97435897435897
uttar pradesh,17470,14180417.0,All,2020,4,map,insurance,india,2020-Q4,811.7010303377218,0.6977648202137998
