name,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
puducherry,104212,165825971.36983618,All,2018,1,map,transaction,india,2018-Q1,1591.2368188868477,
tamil nadu,6726622,11261557697.516891,All,2018,1,map,transaction,india,2018-Q1,1674.177276130113,63.54748013664454
uttar pradesh,12537805,13939970923.223106,All,2018,1,map,transaction,india,2018-Q1,1111.8350399629844,0.8639080655936962
madhya pradesh,8025395,8681603403.446348,All,2018,1,map,transaction,india,2018-Q1,1081.766492919831,-0.3599043054186917
andhra pradesh,9039585,11996276391.823706,All,2018,1,map,transaction,india,2018-Q1,1327.0826472480435,0.12637259599060235
tripura,148157,137978914.53062224,All,2018,1,map,transaction,india,2018-Q1,931.30202778554,-0.98361019891953
lakshadweep,778,1928611.1808777405,All,2018,1,map,transaction,india,2018-Q1,2478.9346797914404,-0.994748813758378
manipur,84069,128046173.93020926,All,2018,1,map,transaction,india,2018-Q1,1523.108088953232,107.05784061696659
maharashtra,16387034,21711613257.72568,All,2018,1,map,transaction,india,2018-Q1,1324.926356882257,193.9236222626652
dadra & nagar haveli & daman & diu,148549,175658384.10921687,All,2018,1,map,transaction,india,2018-Q1,1182.4945580866708,-0.9909349672430044
meghalaya,49571,66250259.78990036,All,2018,1,map,transaction,india,2018-Q1,1336.4721266446181,-0.6662986623942269
andaman & nicobar islands,6658,14631761.22198579,All,2018,1,map,transaction,india,2018-Q1,2197.6210907157993,-0.8656875996046075
haryana,4480770,6793511514.660528,All,2018,1,map,transaction,india,2018-Q1,1516.1482322593054,671.9903875037548
rajasthan,7591690,8926293130.726837,All,2018,1,map,transaction,india,2018-Q1,1175.7978962163677,0.694282455917175
ladakh,6089,12532857.771114783,All,2018,1,map,transaction,india,2018-Q1,2058.2784974732767,-0.9991979387988709
punjab,1870433,2780758224.854389,All,2018,1,map,transaction,india,2018-Q1,1486.6922390988552,306.1822959435047
assam,1056881,1157804456.212469,All,2018,1,map,transaction,india,2018-Q1,1095.4917878289696,-0.43495383154595757
jharkhand,2178921,2374186389.9194,All,2018,1,map,transaction,india,2018-Q1,1089.6156354082595,1.0616521632993687
odisha,5809821,4627632210.887628,All,2018,1,map,transaction,india,2018-Q1,796.518896345968,1.6663752380191847
bihar,5824302,6045758172.017314,All,2018,1,map,transaction,india,2018-Q1,1038.022783162225,0.002492503641678523
kerala,1771380,2402674753.100502,All,2018,1,map,transaction,india,2018-Q1,1356.3858421685363,-0.6958639850749497
karnataka,12016899,19217895314.0128,All,2018,1,map,transaction,india,2018-Q1,1599.239147638072,5.7839193171425665
chandigarh,381895,613435420.8676233,All,2018,1,map,transaction,india,2018-Q1,1606.293407527261,-0.9682201706114032
telangana,8522766,13308204118.542437,All,2018,1,map,transaction,india,2018-Q1,1561.4888545036245,21.317040024090392
himachal pradesh,481918,628737806.3723404,All,2018,1,map,transaction,india,2018-Q1,1304.6572370659333,-0.9434552116061852
west bengal,11710225,10625978552.140451,All,2018,1,map,transaction,india,2018-Q1,907.410280514717,23.299206504011057
gujarat,5948775,7577982255.034092,All,2018,1,map,transaction,india,2018-Q1,1273.8727309461347,-0.49200164813229463
sikkim,44078,64650938.94036834,All,2018,1,map,transaction,india,2018-Q1,1466.73939244903,-0.9925904072687234
nagaland,42845,78005891.08612517,All,2018,1,map,transaction,india,2018-Q1,1820.6533104475473,-0.027973138527156438
mizoram,18561,45227219.97579084,All,2018,1,map,transaction,india,2018-Q1,2436.6801344642445,-0.5667872563893104
chhattisgarh,1891514,2149155557.2367463,All,2018,1,map,transaction,india,2018-Q1,1136.209172777334,100.90797909595388
jammu & kashmir,941568,1005371239.2561305,All,2018,1,map,transaction,india,2018-Q1,1067.7627524046384,-0.502214628070424
goa,160897,303856742.34308386,All,2018,1,map,transaction,india,2018-Q1,1888.5171404257621,-0.8291180244018488
arunachal pradesh,45497,92387336.00940911,All,2018,1,map,transaction,india,2018-Q1,2030.6247886543972,-0.7172290347240782
delhi,7122754,11211503806.91996,All,2018,1,map,transaction,india,2018-Q1,1574.0405757267429,155.5543662219487
uttarakhand,1246685,1508545358.5238864,All,2018,1,map,transaction,india,2018-Q1,1210.0453270263831,-0.8249714927681062
puducherry,130261,285801119.5324367,All,2018,2,map,transaction,india,2018-Q2,2194.0651425402593,-0.8955141034022227
tamil nadu,9992128,20125844276.267666,All,2018,2,map,transaction,india,2018-Q2,2014.1699822367834,75.70851597945664
uttar pradesh,17710943,25720201695.701435,All,2018,2,map,transaction,india,2018-Q2,1452.2209063459486,0.772489603816124
madhya pradesh,10561412,15924081066.680986,All,2018,2,map,transaction,india,2018-Q2,1507.7606163532855,-0.4036787312793
andhra pradesh,12353918,22883914272.633617,All,2018,2,map,transaction,india,2018-Q2,1852.3608682390168,0.16972219244926712
tripura,214559,236891718.7161358,All,2018,2,map,transaction,india,2018-Q2,1104.0866088867667,-0.9826323114658847
lakshadweep,2132,6187809.539400538,All,2018,2,map,transaction,india,2018-Q2,2902.3496901503463,-0.9900633392213797
manipur,151721,253209721.319494,All,2018,2,map,transaction,india,2018-Q2,1668.9167703844162,70.16369606003752
maharashtra,22285740,36357057241.12254,All,2018,2,map,transaction,india,2018-Q2,1631.4045322759102,145.8863242398877
dadra & nagar haveli & daman & diu,202626,302070771.6561514,All,2018,2,map,transaction,india,2018-Q2,1490.779917957969,-0.9909078181832867
meghalaya,67857,117004667.8418316,All,2018,2,map,transaction,india,2018-Q2,1724.2829456331933,-0.6651120784104705
andaman & nicobar islands,11340,28338535.507953547,All,2018,2,map,transaction,india,2018-Q2,2498.9890218653923,-0.8328838587028604
haryana,6150931,11320414442.116665,All,2018,2,map,transaction,india,2018-Q2,1840.4391858918048,541.4101410934744
rajasthan,9973697,15559086175.75962,All,2018,2,map,transaction,india,2018-Q2,1560.0119169210395,0.6214938844217242
ladakh,15010,47334902.5377415,All,2018,2,map,transaction,india,2018-Q2,3153.557797317888,-0.9984950415076776
punjab,2581163,4684672212.007125,All,2018,2,map,transaction,india,2018-Q2,1814.946290492745,170.96289140572952
assam,1663873,2350585135.537811,All,2018,2,map,transaction,india,2018-Q2,1412.7190810463364,-0.35537856384893163
jharkhand,3152080,4721575659.062912,All,2018,2,map,transaction,india,2018-Q2,1497.923802398071,0.8944234325576532
odisha,8158144,8488310339.620239,All,2018,2,map,transaction,india,2018-Q2,1040.4707663434526,1.5881779650262682
bihar,8632378,13506131109.672922,All,2018,2,map,transaction,india,2018-Q2,1564.589862685916,0.05813013352056551
kerala,2308165,3886923343.44263,All,2018,2,map,transaction,india,2018-Q2,1683.9885118449633,-0.7326153928847879
karnataka,17116447,33515580081.29709,All,2018,2,map,transaction,india,2018-Q2,1958.0921251529064,6.415608069613741
chandigarh,479084,961223261.74473,All,2018,2,map,transaction,india,2018-Q2,2006.3772986464378,-0.9720103126542559
telangana,10764670,23017201517.652737,All,2018,2,map,transaction,india,2018-Q2,2138.217104440056,21.469274699217674
himachal pradesh,687695,1183169301.3511178,All,2018,2,map,transaction,india,2018-Q2,1720.4855369765926,-0.9361155520791626
west bengal,18082446,18629183470.204285,All,2018,2,map,transaction,india,2018-Q2,1030.2358137944548,25.29428162193996
gujarat,7745733,12162684771.641388,All,2018,2,map,transaction,india,2018-Q2,1570.24322574008,-0.5716435154845755
sikkim,74578,143693085.52979562,All,2018,2,map,transaction,india,2018-Q2,1926.7489813322377,-0.9903717311195726
nagaland,65599,153325577.88030174,All,2018,2,map,transaction,india,2018-Q2,2337.315780428082,-0.12039743624125077
mizoram,27051,83508405.55773437,All,2018,2,map,transaction,india,2018-Q2,3087.07277208733,-0.5876309090077593
chhattisgarh,2816156,4264170443.1617327,All,2018,2,map,transaction,india,2018-Q2,1514.1811899488994,103.10543048316144
jammu & kashmir,1796326,2651206236.502893,All,2018,2,map,transaction,india,2018-Q2,1475.904839379318,-0.36213547829026516
goa,229575,478603825.35861486,All,2018,2,map,transaction,india,2018-Q2,2084.738431269149,-0.8721974741778497
arunachal pradesh,82157,198970192.34204656,All,2018,2,map,transaction,india,2018-Q2,2421.828844067414,-0.64213437874333
delhi,9373723,17446299902.205147,All,2018,2,map,transaction,india,2018-Q2,1861.1921754254042,113.09524447095195
uttarakhand,1704122,2679755378.5510764,All,2018,2,map,transaction,india,2018-Q2,1572.5138097806825,-0.8182022233855214
puducherry,190271,417658075.4942067,All,2018,3,map,transaction,india,2018-Q3,2195.069535001165,-0.8883466089869152
tamil nadu,15774078,29330092241.18405,All,2018,3,map,transaction,india,2018-Q3,1859.3855210544828,81.90321699050303
uttar pradesh,26515356,37012114369.23937,All,2018,3,map,transaction,india,2018-Q3,1395.8746912256947,0.680944902136277
madhya pradesh,17126985,24149742204.67322,All,2018,3,map,transaction,india,2018-Q3,1410.0404831716278,-0.3540729756749259
andhra pradesh,25626061,35718044599.21416,All,2018,3,map,transaction,india,2018-Q3,1393.8172003576422,0.49623888851423636
tripura,377703,453863388.0405924,All,2018,3,map,transaction,india,2018-Q3,1201.640940211204,-0.9852609809989916
