name,count,amount,state,year,quarter,country,date,avg_transaction_value,growth
puducherry,49318,0.0,All,2018,1,india,2018-Q1,0.0,
tamil nadu,2104754,0.0,All,2018,1,india,2018-Q1,0.0,41.67719696662476
uttar pradesh,4694250,0.0,All,2018,1,india,2018-Q1,0.0,1.230308150026084
madhya pradesh,2553603,0.0,All,2018,1,india,2018-Q1,0.0,-0.4560146988336795
andhra pradesh,3336450,0.0,All,2018,1,india,2018-Q1,0.0,0.30656566427905974
tripura,55157,0.0,All,2018,1,india,2018-Q1,0.0,-0.9834683570861245
lakshadweep,501,0.0,All,2018,1,india,2018-Q1,0.0,-0.9909168373914462
manipur,29925,0.0,All,2018,1,india,2018-Q1,0.0,58.73053892215569
maharashtra,6106994,0.0,All,2018,1,india,2018-Q1,0.0,203.0766583124478
dadra & nagar haveli & daman & diu,53258,0.0,All,2018,1,india,2018-Q1,0.0,-0.9912791792492346
meghalaya,18513,0.0,All,2018,1,india,2018-Q1,0.0,-0.6523902512298622
andaman & nicobar islands,6740,0.0,All,2018,1,india,2018-Q1,0.0,-0.6359315075892615
haryana,1847357,0.0,All,2018,1,india,2018-Q1,0.0,273.0885756676558
rajasthan,3158202,0.0,All,2018,1,india,2018-Q1,0.0,0.7095786033776903
ladakh,8784,0.0,All,2018,1,india,2018-Q1,0.0,-0.9972186706233483
punjab,847142,0.0,All,2018,1,india,2018-Q1,0.0,95.44148451730419
assam,385237,0.0,All,2018,1,india,2018-Q1,0.0,-0.5452509732724856
jharkhand,885762,0.0,All,2018,1,india,2018-Q1,0.0,1.2992651277006102
odisha,1594015,0.0,All,2018,1,india,2018-Q1,0.0,0.7995974087847526
bihar,2133804,0.0,All,2018,1,india,2018-Q1,0.0,0.3386348309143892
kerala,784184,0.0,All,2018,1,india,2018-Q1,0.0,-0.6324948308279486
karnataka,3717763,0.0,All,2018,1,india,2018-Q1,0.0,3.7409319751486896
chandigarh,86268,0.0,All,2018,1,india,2018-Q1,0.0,-0.9767957236650104
telangana,3315560,0.0,All,2018,1,india,2018-Q1,0.0,37.43325450920388
himachal pradesh,227373,0.0,All,2018,1,india,2018-Q1,0.0,-0.931422444473935
west bengal,2604789,0.0,All,2018,1,india,2018-Q1,0.0,10.456017205209061
gujarat,2690048,0.0,All,2018,1,india,2018-Q1,0.0,0.032731633925051185
sikkim,20051,0.0,All,2018,1,india,2018-Q1,0.0,-0.9925462296583556
nagaland,15074,0.0,All,2018,1,india,2018-Q1,0.0,-0.24821704653134502
mizoram,7593,0.0,All,2018,1,india,2018-Q1,0.0,-0.4962849940294547
chhattisgarh,679263,0.0,All,2018,1,india,2018-Q1,0.0,88.45910707230344
jammu & kashmir,176425,0.0,All,2018,1,india,2018-Q1,0.0,-0.7402699690694179
goa,91936,0.0,All,2018,1,india,2018-Q1,0.0,-0.4788947144679042
arunachal pradesh,21495,0.0,All,2018,1,india,2018-Q1,0.0,-0.7661960494256874
delhi,2087022,0.0,All,2018,1,india,2018-Q1,0.0,96.093370551291
uttarakhand,483043,0.0,All,2018,1,india,2018-Q1,0.0,-0.7685491576035135
puducherry,65580,0.0,All,2018,2,india,2018-Q2,0.0,-0.8642356891622485
tamil nadu,2996036,0.0,All,2018,2,india,2018-Q2,0.0,44.68520890515401
uttar pradesh,6442554,0.0,All,2018,2,india,2018-Q2,0.0,1.1503593414765376
madhya pradesh,3441662,0.0,All,2018,2,india,2018-Q2,0.0,-0.465792292932275
andhra pradesh,4402540,0.0,All,2018,2,india,2018-Q2,0.0,0.27919011221903833
tripura,83369,0.0,All,2018,2,india,2018-Q2,0.0,-0.9810634315645059
lakshadweep,686,0.0,All,2018,2,india,2018-Q2,0.0,-0.9917715217886744
manipur,46055,0.0,All,2018,2,india,2018-Q2,0.0,66.13556851311954
maharashtra,8222371,0.0,All,2018,2,india,2018-Q2,0.0,177.53373140809902
dadra & nagar haveli & daman & diu,71458,0.0,All,2018,2,india,2018-Q2,0.0,-0.991309319416504
meghalaya,26618,0.0,All,2018,2,india,2018-Q2,0.0,-0.6275014693946095
andaman & nicobar islands,9405,0.0,All,2018,2,india,2018-Q2,0.0,-0.6466676684950035
haryana,2447221,0.0,All,2018,2,india,2018-Q2,0.0,259.2042530568846
rajasthan,4212964,0.0,All,2018,2,india,2018-Q2,0.0,0.7215298495722291
ladakh,12918,0.0,All,2018,2,india,2018-Q2,0.0,-0.9969337502053186
punjab,1152190,0.0,All,2018,2,india,2018-Q2,0.0,88.19259947360273
assam,571046,0.0,All,2018,2,india,2018-Q2,0.0,-0.5043820897595015
jharkhand,1230599,0.0,All,2018,2,india,2018-Q2,0.0,1.1549910164855373
odisha,2185781,0.0,All,2018,2,india,2018-Q2,0.0,0.7761927321572666
bihar,3005872,0.0,All,2018,2,india,2018-Q2,0.0,0.37519358069266784
kerala,1066587,0.0,All,2018,2,india,2018-Q2,0.0,-0.6451655293372439
karnataka,5030665,0.0,All,2018,2,india,2018-Q2,0.0,3.7166007086154247
chandigarh,115219,0.0,All,2018,2,india,2018-Q2,0.0,-0.9770966661465234
telangana,4260115,0.0,All,2018,2,india,2018-Q2,0.0,35.974066777180845
himachal pradesh,315299,0.0,All,2018,2,india,2018-Q2,0.0,-0.9259881482072667
west bengal,3833795,0.0,All,2018,2,india,2018-Q2,0.0,11.159236153619263
gujarat,3565825,0.0,All,2018,2,india,2018-Q2,0.0,-0.06989679938546534
sikkim,28097,0.0,All,2018,2,india,2018-Q2,0.0,-0.9921204770284576
nagaland,22436,0.0,All,2018,2,india,2018-Q2,0.0,-0.20148058511584865
mizoram,10422,0.0,All,2018,2,india,2018-Q2,0.0,-0.5354786949545374
chhattisgarh,950675,0.0,All,2018,2,india,2018-Q2,0.0,90.21809633467664
jammu & kashmir,261609,0.0,All,2018,2,india,2018-Q2,0.0,-0.7248176295789834
goa,122174,0.0,All,2018,2,india,2018-Q2,0.0,-0.5329900729714956
arunachal pradesh,32883,0.0,All,2018,2,india,2018-Q2,0.0,-0.730851081244782
delhi,2756141,0.0,All,2018,2,india,2018-Q2,0.0,82.81659216008272
uttarakhand,649142,0.0,All,2018,2,india,2018-Q2,0.0,-0.7644743139048401
puducherry,81546,0.0,All,2018,3,india,2018-Q3,0.0,-0.8743787953945361
