name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
maharashtra,39836,6879717.0,All,2020,2,top,insurance,states,india,2020-Q2,172.70099909629482,
karnataka,27358,4794150.0,All,2020,2,top,insurance,states,india,2020-Q2,175.2375904671394,-0.31323426046791847
andhra pradesh,22104,3982391.0,All,2020,2,top,insurance,states,india,2020-Q2,180.16607853782122,-0.1920462022077637
telangana,19003,3419453.0,All,2020,2,top,insurance,states,india,2020-Q2,179.94279850549913,-0.14029134998190373
delhi,11716,1897480.0,All,2020,2,top,insurance,states,india,2020-Q2,161.9562990781837,-0.3834657685628585
uttar pradesh,9884,1912266.0,All,2020,2,top,insurance,states,india,2020-Q2,193.47086199919062,-0.15636736087401848
gujarat,7697,1430591.0,All,2020,2,top,insurance,states,india,2020-Q2,185.86345329349098,-0.22126669364629703
west bengal,7619,1432764.0,All,2020,2,top,insurance,states,india,2020-Q2,188.05145032156452,-0.010133818370793857
haryana,6321,1179814.0,All,2020,2,top,insurance,states,india,2020-Q2,186.6498971681696,-0.17036356477227987
madhya pradesh,6283,1198701.0,All,2020,2,top,insurance,states,india,2020-Q2,190.78481617061914,-0.006011707008384715
bengaluru urban,20040,3301769.0,All,2020,2,top,insurance,districts,india,2020-Q2,164.75893213572854,2.1895591278051887
pune,8699,1482628.0,All,2020,2,top,insurance,districts,india,2020-Q2,170.43660190826532,-0.5659181636726547
thane,7559,1221018.0,All,2020,2,top,insurance,districts,india,2020-Q2,161.53168408519645,-0.131049545924819
mumbai suburban,5780,884439.0,All,2020,2,top,insurance,districts,india,2020-Q2,153.01712802768165,-0.2353485910834766
hyderabad,4783,805518.0,All,2020,2,top,insurance,districts,india,2020-Q2,168.4127116872256,-0.1724913494809689
rangareddy,4495,778492.0,All,2020,2,top,insurance,districts,india,2020-Q2,173.19065628476085,-0.060213255279113476
medchal malkajgiri,4150,711890.0,All,2020,2,top,insurance,districts,india,2020-Q2,171.53975903614457,-0.07675194660734153
visakhapatnam,3504,614212.0,All,2020,2,top,insurance,districts,india,2020-Q2,175.28881278538813,-0.1556626506024097
aurangabad,2898,509460.0,All,2020,2,top,insurance,districts,india,2020-Q2,175.79710144927537,-0.17294520547945202
anantapur,2739,485777.0,All,2020,2,top,insurance,districts,india,2020-Q2,177.3556042351223,-0.054865424430641796
560068,1076,168415.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,156.51951672862452,-0.6071558963125228
560037,1034,155914.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,150.7872340425532,-0.03903345724907059
110059,895,132104.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,147.60223463687151,-0.13442940038684714
560076,802,124790.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,155.59850374064837,-0.10391061452513961
500072,760,122394.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,161.04473684210527,-0.052369077306733125
560078,742,119673.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,161.2843665768194,-0.023684210526315752
421201,668,104388.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,156.2694610778443,-0.09973045822102422
560100,651,103528.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,159.02918586789554,-0.025449101796407136
431003,651,107122.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,164.5499231950845,0.0
110092,638,94570.0,All,2020,2,top,insurance,pincodes,india,2020-Q2,148.22884012539186,-0.019969278033794113
maharashtra,71662,19230156.0,All,2020,3,top,insurance,states,india,2020-Q3,268.34523178253465,111.32288401253919
karnataka,53701,12407394.0,All,2020,3,top,insurance,states,india,2020-Q3,231.04586506768962,-0.25063492506488794
andhra pradesh,49812,12426481.0,All,2020,3,top,insurance,states,india,2020-Q3,249.4676182445997,-0.07241950801661046
telangana,34395,8406543.0,All,2020,3,top,insurance,states,india,2020-Q3,244.41177496729176,-0.3095037340399903
uttar pradesh,18131,4436969.0,All,2020,3,top,insurance,states,india,2020-Q3,244.71727979703272,-0.47285942724233176
rajasthan,15235,3758527.0,All,2020,3,top,insurance,states,india,2020-Q3,246.7034460124713,-0.15972643538690645
madhya pradesh,14476,3496126.0,All,2020,3,top,insurance,states,india,2020-Q3,241.51188173528598,-0.04981949458483759
