name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
maharashtra,16387034,21711613257.72568,All,2018,1,top,transaction,states,india,2018-Q1,1324.926356882257,
uttar pradesh,12537805,13939970923.223106,All,2018,1,top,transaction,states,india,2018-Q1,1111.8350399629844,-0.23489479548281889
karnataka,12016899,19217895314.0128,All,2018,1,top,transaction,states,india,2018-Q1,1599.239147638072,-0.0415468257801106
west bengal,11710225,10625978552.140451,All,2018,1,top,transaction,states,india,2018-Q1,907.410280514717,-0.025520227805859053
andhra pradesh,9039585,11996276391.823706,All,2018,1,top,transaction,states,india,2018-Q1,1327.0826472480435,-0.22806051975944097
telangana,8522766,13308204118.542437,All,2018,1,top,transaction,states,india,2018-Q1,1561.4888545036245,-0.057172868002236865
madhya pradesh,8025395,8681603403.446348,All,2018,1,top,transaction,states,india,2018-Q1,1081.766492919831,-0.0583579321548896
rajasthan,7591690,8926293130.72684,All,2018,1,top,transaction,states,india,2018-Q1,1175.7978962163681,-0.05404157676974153
delhi,7122754,11211503806.91996,All,2018,1,top,transaction,states,india,2018-Q1,1574.0405757267429,-0.061769645493954584
tamil nadu,6726622,11261557697.516891,All,2018,1,top,transaction,states,india,2018-Q1,1674.177276130113,-0.05561500509493944
bengaluru urban,8306513,14162750303.06484,All,2018,1,top,transaction,districts,india,2018-Q1,1705.0175329966787,0.2348713812073877
pune,3842929,5378982326.835919,All,2018,1,top,transaction,districts,india,2018-Q1,1399.7090049896626,-0.5373595394361027
central delhi,2997714,4312145216.274474,All,2018,1,top,transaction,districts,india,2018-Q1,1438.4778588866297,-0.2199403111532896
mumbai,2671029,3923116793.952079,All,2018,1,top,transaction,districts,india,2018-Q1,1468.7660800208755,-0.10897804126744581
chennai,2656230,4281137762.522443,All,2018,1,top,transaction,districts,india,2018-Q1,1611.7345871865173,-0.005540561334227423
hyderabad,2545507,4287223789.76588,All,2018,1,top,transaction,districts,india,2018-Q1,1684.2317816316672,-0.041684266799185354
jaipur,2417174,2953086960.1413727,All,2018,1,top,transaction,districts,india,2018-Q1,1221.7105430313964,-0.05041549679494106
birbhum,2125816,2520486412.452376,All,2018,1,top,transaction,districts,india,2018-Q1,1185.6559610297297,-0.12053662665575582
kolkata,2043129,2753347660.1429114,All,2018,1,top,transaction,districts,india,2018-Q1,1347.6132246876782,-0.038896593120006595
bhopal,1704495,1905473874.832672,All,2018,1,top,transaction,districts,india,2018-Q1,1117.9110967369643,-0.16574283855791783
560001,2917356,4684262246.184548,All,2018,1,top,transaction,pincodes,india,2018-Q1,1605.6532854353559,0.7115661823589978
110006,2636324,3714139312.238586,All,2018,1,top,transaction,pincodes,india,2018-Q1,1408.832644333013,-0.09633106141314263
400008,2227885,3105208723.475169,All,2018,1,top,transaction,pincodes,india,2018-Q1,1393.7921946039266,-0.15492746718536876
600003,2010196,2997847000.265506,All,2018,1,top,transaction,pincodes,india,2018-Q1,1491.3207469647268,-0.09771105779696887
731101,1764956,2366771285.7278423,All,2018,1,top,transaction,pincodes,india,2018-Q1,1340.980333633157,-0.12199805392111018
700009,1390629,1851145374.4001176,All,2018,1,top,transaction,pincodes,india,2018-Q1,1331.1568897240873,-0.21208857331287578
411001,1055656,1413523605.595662,All,2018,1,top,transaction,pincodes,india,2018-Q1,1339.0002099127578,-0.240878767809387
500012,933013,1643061976.4262943,All,2018,1,top,transaction,pincodes,india,2018-Q1,1761.0279561231134,-0.11617705009965362
462001,832846,898730606.684653,All,2018,1,top,transaction,pincodes,india,2018-Q1,1079.107790257326,-0.10735863273073365
201301,690196,987613438.954012,All,2018,1,top,transaction,pincodes,india,2018-Q1,1430.9173610887517,-0.17128016464028162
maharashtra,22285740,36357057241.12254,All,2018,2,top,transaction,states,india,2018-Q2,1631.4045322759102,31.289001964659313
west bengal,18082446,18629183470.204285,All,2018,2,top,transaction,states,india,2018-Q2,1030.2358137944548,-0.18860912852792866
uttar pradesh,17710943,25720201695.701435,All,2018,2,top,transaction,states,india,2018-Q2,1452.2209063459486,-0.02054495282330715
karnataka,17116447,33515580081.29709,All,2018,2,top,transaction,states,india,2018-Q2,1958.0921251529064,-0.033566592134591566
andhra pradesh,12353918,22883914272.633617,All,2018,2,top,transaction,states,india,2018-Q2,1852.3608682390168,-0.27824285028312246
telangana,10764670,23017201517.652737,All,2018,2,top,transaction,states,india,2018-Q2,2138.217104440056,-0.12864323690670443
madhya pradesh,10561412,15924081066.680984,All,2018,2,top,transaction,states,india,2018-Q2,1507.7606163532853,-0.018881953650228045
tamil nadu,9992128,20125844276.267666,All,2018,2,top,transaction,states,india,2018-Q2,2014.1699822367834,-0.05390226231113793
rajasthan,9973697,15559086175.759624,All,2018,2,top,transaction,states,india,2018-Q2,1560.0119169210398,-0.0018445520313591368
delhi,9373723,17446299902.205147,All,2018,2,top,transaction,states,india,2018-Q2,1861.1921754254042,-0.06015562734660984
bengaluru urban,11916035,23824727965.49048,All,2018,2,top,transaction,districts,india,2018-Q2,1999.383852555861,0.27121689002331295
pune,5162876,8513428062.925206,All,2018,2,top,transaction,districts,india,2018-Q2,1648.9700823582061,-0.5667286979267852
chennai,3719593,7305357440.752291,All,2018,2,top,transaction,districts,india,2018-Q2,1964.020644396387,-0.2795501964408984
central delhi,3589206,6223466821.092629,All,2018,2,top,transaction,districts,india,2018-Q2,1733.9397128759479,-0.035054104037726685
mumbai,3277612,6048515205.760132,All,2018,2,top,transaction,districts,india,2018-Q2,1845.403057396706,-0.08681418675885422
jaipur,3175255,4952882923.415596,All,2018,2,top,transaction,districts,india,2018-Q2,1559.8378471699425,-0.031229138775425547
hyderabad,3156805,6628159910.681627,All,2018,2,top,transaction,districts,india,2018-Q2,2099.6418564598152,-0.0058105569473947405
birbhum,2775489,3988930679.767912,All,2018,2,top,transaction,districts,india,2018-Q2,1437.1992394017457,-0.12079174988635666
kolkata,2501448,4109821729.890053,All,2018,2,top,transaction,districts,india,2018-Q2,1642.9770796314986,-0.09873611460899323
north twenty four parganas,2119664,2509379355.091834,All,2018,2,top,transaction,districts,india,2018-Q2,1183.8571373065893,-0.15262519948445863
560001,3777086,7545089760.607167,All,2018,2,top,transaction,pincodes,india,2018-Q2,1997.5954374899504,0.781926758203187
110006,3069733,5237594871.124264,All,2018,2,top,transaction,pincodes,india,2018-Q2,1706.2053511247602,-0.18727479331950614
600003,2771900,5194488793.022476,All,2018,2,top,transaction,pincodes,india,2018-Q2,1873.9813099399244,-0.097022444623034
400008,2631405,4703762207.003538,All,2018,2,top,transaction,pincodes,india,2018-Q2,1787.5477955706317,-0.05068545041307404
731101,2134258,3697928407.603048,All,2018,2,top,transaction,pincodes,india,2018-Q2,1732.6529443033821,-0.18892834816381365
700009,1473202,2566583723.725673,All,2018,2,top,transaction,pincodes,india,2018-Q2,1742.1804502883333,-0.30973574891133127
411001,1316115,2145613783.550701,All,2018,2,top,transaction,pincodes,india,2018-Q2,1630.2631483956195,-0.10662964074173131
500012,1024336,2257038218.1929708,All,2018,2,top,transaction,pincodes,india,2018-Q2,2203.415889115457,-0.22169719211467087
201301,971854,1673280979.3831716,All,2018,2,top,transaction,pincodes,india,2018-Q2,1721.7411045107306,-0.051235141594164424
462001,928983,1443626493.1959715,All,2018,2,top,transaction,pincodes,india,2018-Q2,1553.9859106097435,-0.0441125930438111
west bengal,53705416,41843934183.17764,All,2018,3,top,transaction,states,india,2018-Q3,779.1380702307127,56.81097824179775
maharashtra,31538538,52260817733.24835,All,2018,3,top,transaction,states,india,2018-Q3,1657.0463010444032,-0.4127493957034054
odisha,30052155,23094515775.58576,All,2018,3,top,transaction,states,india,2018-Q3,768.4811879742321,-0.047129102813833645
