name,count,state,year,quarter,level,country,date,growth
maharashtra,6106994,All,2018,1,states,india,2018-Q1,
uttar pradesh,4694250,All,2018,1,states,india,2018-Q1,-0.2313321414758226
karnataka,3717763,All,2018,1,states,india,2018-Q1,-0.2080176812057304
andhra pradesh,3336450,All,2018,1,states,india,2018-Q1,-0.10256517158301914
telangana,3315560,All,2018,1,states,india,2018-Q1,-0.0062611458286502275
rajasthan,3158202,All,2018,1,states,india,2018-Q1,-0.04746045916828534
gujarat,2690048,All,2018,1,states,india,2018-Q1,-0.1482343434650475
west bengal,2604789,All,2018,1,states,india,2018-Q1,-0.03169422999143512
madhya pradesh,2553603,All,2018,1,states,india,2018-Q1,-0.019650727947638003
bihar,2133804,All,2018,1,states,india,2018-Q1,-0.16439477867154761
bengaluru urban,1922368,All,2018,1,districts,india,2018-Q1,-0.09908876354154361
pune,1211643,All,2018,1,districts,india,2018-Q1,-0.36971329110763396
jaipur,900773,All,2018,1,districts,india,2018-Q1,-0.25656897287402314
mumbai suburban,719300,All,2018,1,districts,india,2018-Q1,-0.2014636317918055
hyderabad,655175,All,2018,1,districts,india,2018-Q1,-0.0891491728068956
rangareddy,635175,All,2018,1,districts,india,2018-Q1,-0.03052619529133438
thane,631864,All,2018,1,districts,india,2018-Q1,-0.005212736647380645
ahmadabad,572811,All,2018,1,districts,india,2018-Q1,-0.09345840244103165
medchal malkajgiri,549429,All,2018,1,districts,india,2018-Q1,-0.04081974682748757
visakhapatnam,497187,All,2018,1,districts,india,2018-Q1,-0.09508416920111606
201301,114625,All,2018,1,pincodes,india,2018-Q1,-0.769452942253116
500072,105012,All,2018,1,pincodes,india,2018-Q1,-0.08386477644492907
560068,98487,All,2018,1,pincodes,india,2018-Q1,-0.06213575591360987
110059,95496,All,2018,1,pincodes,india,2018-Q1,-0.030369490389594578
110092,83600,All,2018,1,pincodes,india,2018-Q1,-0.12457066264555583
122001,82656,All,2018,1,pincodes,india,2018-Q1,-0.01129186602870813
560037,75304,All,2018,1,pincodes,india,2018-Q1,-0.08894696089818044
395006,72275,All,2018,1,pincodes,india,2018-Q1,-0.04022362689896952
800001,71092,All,2018,1,pincodes,india,2018-Q1,-0.016368038740920077
302012,68098,All,2018,1,pincodes,india,2018-Q1,-0.04211444325662517
maharashtra,8222371,All,2018,2,states,india,2018-Q2,119.74320831742489
uttar pradesh,6442554,All,2018,2,states,india,2018-Q2,-0.21646031296812074
karnataka,5030665,All,2018,2,states,india,2018-Q2,-0.21915051080673909
andhra pradesh,4402540,All,2018,2,states,india,2018-Q2,-0.12485923829155787
telangana,4260115,All,2018,2,states,india,2018-Q2,-0.03235064303788271
rajasthan,4212964,All,2018,2,states,india,2018-Q2,-0.011068011074818362
west bengal,3833795,All,2018,2,states,india,2018-Q2,-0.09000053169217681
gujarat,3565825,All,2018,2,states,india,2018-Q2,-0.06989679938546534
madhya pradesh,3441662,All,2018,2,states,india,2018-Q2,-0.03482027300835011
bihar,3005872,All,2018,2,states,india,2018-Q2,-0.12662196345835242
bengaluru urban,2553312,All,2018,2,districts,india,2018-Q2,-0.15055863988885754
pune,1592293,All,2018,2,districts,india,2018-Q2,-0.37638134313393745
jaipur,1182983,All,2018,2,districts,india,2018-Q2,-0.25705696125022215
mumbai suburban,957633,All,2018,2,districts,india,2018-Q2,-0.19049301638316019
thane,861292,All,2018,2,districts,india,2018-Q2,-0.10060325824193606
hyderabad,842483,All,2018,2,districts,india,2018-Q2,-0.021838122262832993
rangareddy,804959,All,2018,2,districts,india,2018-Q2,-0.04453977112891294
ahmadabad,751746,All,2018,2,districts,india,2018-Q2,-0.06610647250356849
medchal malkajgiri,696211,All,2018,2,districts,india,2018-Q2,-0.07387468639673511
surat,652372,All,2018,2,districts,india,2018-Q2,-0.06296797953493982
201301,151073,All,2018,2,pincodes,india,2018-Q2,-0.7684250703586297
500072,129543,All,2018,2,pincodes,india,2018-Q2,-0.14251388401633647
560068,128921,All,2018,2,pincodes,india,2018-Q2,-0.004801494484456881
110059,124901,All,2018,2,pincodes,india,2018-Q2,-0.031181886581705065
110092,108175,All,2018,2,pincodes,india,2018-Q2,-0.1339140599354689
122001,107275,All,2018,2,pincodes,india,2018-Q2,-0.00831985209151842
800001,94711,All,2018,2,pincodes,india,2018-Q2,-0.11711955255185269
395006,94500,All,2018,2,pincodes,india,2018-Q2,-0.002227829924718372
560037,93771,All,2018,2,pincodes,india,2018-Q2,-0.0077142857142856736
302012,89071,All,2018,2,pincodes,india,2018-Q2,-0.0501221059815935
maharashtra,10435033,All,2018,3,states,india,2018-Q3,116.15410178397009
uttar pradesh,8096483,All,2018,3,states,india,2018-Q3,-0.22410566406450272
karnataka,6372649,All,2018,3,states,india,2018-Q3,-0.21291145797502442
andhra pradesh,5427617,All,2018,3,states,india,2018-Q3,-0.1482950025962516
rajasthan,5175453,All,2018,3,states,india,2018-Q3,-0.046459431459515255
telangana,5138501,All,2018,3,states,india,2018-Q3,-0.0071398580955135404
west bengal,4851740,All,2018,3,states,india,2018-Q3,-0.055806352864385955
gujarat,4433183,All,2018,3,states,india,2018-Q3,-0.08626946208988939
madhya pradesh,4309309,All,2018,3,states,india,2018-Q3,-0.027942451281618652
tamil nadu,3900177,All,2018,3,states,india,2018-Q3,-0.09494143956722523
bengaluru urban,3167597,All,2018,3,districts,india,2018-Q3,-0.18783250093521398
pune,1974138,All,2018,3,districts,india,2018-Q3,-0.37677109809107656
jaipur,1438305,All,2018,3,districts,india,2018-Q3,-0.2714263136619628
mumbai suburban,1218632,All,2018,3,districts,india,2018-Q3,-0.15273047093627568
thane,1104206,All,2018,3,districts,india,2018-Q3,-0.09389709116451894
hyderabad,1024241,All,2018,3,districts,india,2018-Q3,-0.07241855233534322
rangareddy,963186,All,2018,3,districts,india,2018-Q3,-0.05960999413224033
ahmadabad,919252,All,2018,3,districts,india,2018-Q3,-0.045613204510862926
medchal malkajgiri,828425,All,2018,3,districts,india,2018-Q3,-0.09880533303163874
surat,808005,All,2018,3,districts,india,2018-Q3,-0.024649183691945575
201301,188664,All,2018,3,pincodes,india,2018-Q3,-0.7665063953812167
110059,156028,All,2018,3,pincodes,india,2018-Q3,-0.17298477716999539
500072,152034,All,2018,3,pincodes,india,2018-Q3,-0.025597969595200887
560068,151862,All,2018,3,pincodes,india,2018-Q3,-0.00113132588763043
110092,136676,All,2018,3,pincodes,india,2018-Q3,-0.09999868301484238
122001,130847,All,2018,3,pincodes,india,2018-Q3,-0.04264830694489152
395006,113391,All,2018,3,pincodes,india,2018-Q3,-0.1334077204674161
302012,107088,All,2018,3,pincodes,india,2018-Q3,-0.055586422202820285
560037,106572,All,2018,3,pincodes,india,2018-Q3,-0.004818467055132225
800001,106255,All,2018,3,pincodes,india,2018-Q3,-0.0029745148819577683
maharashtra,13381602,All,2018,4,states,india,2018-Q4,124.93856289115806
uttar pradesh,10341964,All,2018,4,states,india,2018-Q4,-0.22715053100518157
karnataka,8315802,All,2018,4,states,india,2018-Q4,-0.19591655898241378
andhra pradesh,6857409,All,2018,4,states,india,2018-Q4,-0.17537610924358227
telangana,6529679,All,2018,4,states,india,2018-Q4,-0.047792103402319985
rajasthan,6358738,All,2018,4,states,india,2018-Q4,-0.026179081697584206
west bengal,6279278,All,2018,4,states,india,2018-Q4,-0.012496190281782282
gujarat,5579040,All,2018,4,states,india,2018-Q4,-0.11151568699458758
madhya pradesh,5365442,All,2018,4,states,india,2018-Q4,-0.03828579827353806
tamil nadu,5199878,All,2018,4,states,india,2018-Q4,-0.030857476420395602
bengaluru urban,4126734,All,2018,4,districts,india,2018-Q4,-0.20637868811537496
pune,2498852,All,2018,4,districts,india,2018-Q4,-0.3944722388213052
jaipur,1733893,All,2018,4,districts,india,2018-Q4,-0.3061241722198834
mumbai suburban,1578487,All,2018,4,districts,india,2018-Q4,-0.08962836807115548
thane,1473811,All,2018,4,districts,india,2018-Q4,-0.06631413499129224
hyderabad,1336872,All,2018,4,districts,india,2018-Q4,-0.09291489885745186
rangareddy,1217664,All,2018,4,districts,india,2018-Q4,-0.08916934455953895
ahmadabad,1212636,All,2018,4,districts,india,2018-Q4,-0.004129217912330452
medchal malkajgiri,1056739,All,2018,4,districts,india,2018-Q4,-0.12856042538733803
surat,998807,All,2018,4,districts,india,2018-Q4,-0.054821483829024964
201301,250205,All,2018,4,pincodes,india,2018-Q4,-0.7494961489056444
110059,206537,All,2018,4,pincodes,india,2018-Q4,-0.17452888631322316
560068,201605,All,2018,4,pincodes,india,2018-Q4,-0.023879498588630588
110092,177133,All,2018,4,pincodes,india,2018-Q4,-0.12138587832643044
500072,175163,All,2018,4,pincodes,india,2018-Q4,-0.011121586604415867
122001,163556,All,2018,4,pincodes,india,2018-Q4,-0.06626399410834483
560037,137280,All,2018,4,pincodes,india,2018-Q4,-0.1606544547433295
800001,134254,All,2018,4,pincodes,india,2018-Q4,-0.022042540792540755
110086,133412,All,2018,4,pincodes,india,2018-Q4,-0.006271693953252777
110085,132600,All,2018,4,pincodes,india,2018-Q4,-0.006086409018678962
maharashtra,16284451,All,2019,1,states,india,2019-Q1,121.8088310708899
uttar pradesh,12458661,All,2019,1,states,india,2019-Q1,-0.2349351537856572
karnataka,10266174,All,2019,1,states,india,2019-Q1,-0.17598095011976012
